id,message_id,full_message,message,secondary_primals,primary_primals
350,1.38E+17,The world is watching!!!! (live at http://t.co/aBjKMl3O),The world is watching!!!!,alive,Good
310,1.36E+17,THE WORLD IS WATCHING! @IDFSpokesperson have boarded the bus to throw off the Palestinians. #freedomrides \n http://t.co/R3du1s6z,THE WORLD IS WATCHING!,alive,Good
360,1.38E+17,The world is unfair. #FML,The world is unfair.,safe,Good
226,1.29E+17,The world is too hot!!!,The world is too hot!!,dangerous,Bad
293,1.36E+17,"the world is telling me to purchase Janet Jackson tour T-shirts, I now have purchased two.","the world is telling me to purchase Janet Jackson tour T-shirts, I now have purchased two.",alive,Good
284,1.35E+17,The world is still here.,The world is still here.,safe,Good
370,1.38E+17,The world is so much bigger,The world is so much bigger,enticing,Good
336,1.37E+17,"The world is so cruel sometimes, I'm definitely going to start appreciating what I have from now on.","The world is so cruel sometimes, I'm definitely going to start appreciating what I have from now on.",dangerous,Bad
235,1.34E+17,The world is so cold and deceiving but I swear I keep my head up like my nose was bleeding,The world is so cold and deceiving but I swear I keep my head up like my nose was bleeding,dull,Bad
203,1.29E+17,The world is so beautiful..,The world is so beautiful..,enticing,Good
283,1.35E+17,"the world is smaller than you think, and the people on it are more beautiful than you think","the world is smaller than you think, and the people on it are more beautiful than you think",enticing,Good
389,1.39E+17,The world is ruthless man.,The world is ruthless man.,dangerous,Bad
281,1.35E+17,the world is out to conquer your fears!,the world is out to conquer your fears!,alive,Good
384,1.39E+17,"The world is not all right, folks!jF86O","The world is not all right, folks!jF86O",dangerous,Bad
340,1.38E+17,The world is no playground so have fun somewhere else.,The world is no playground so have fun somewhere else.,dull,Bad
352,1.38E+17,The world is my burrito~,The world is my burrito~,enticing,Good
231,1.30E+17,The world is more malleable than you think and it's waiting for you to hammer it into shape. - Bono,The world is more malleable than you think and it's waiting for you to hammer it into shape.,enticing,Good
394,1.39E+17,"The world is like a wolf and we are the prey, either step it up or Ger eaten","The world is like a wolf and we are the prey, either step it up or Ger eaten",dangerous,Bad
398,1.39E+17,"The world is just so hateful, the kids are so ungrateful and im no longer able to discuise my disgust.","The world is just so hateful, the kids are so ungrateful and im no longer able to discuise my disgust.",dull,Bad
400,1.39E+17,The world is just a bunch of lies,The world is just a bunch of lies,dull,Bad
266,1.34E+17,"The world is in your hands, or it's at your throat.","The world is in your hands, or it's at your throat.",dangerous,Bad
222,1.29E+17,"The world is in my hand, I'm thinking what else Can I Conquer. &gt;: )","The world is in my hand, I'm thinking what else Can I Conquer.",dangerous,Bad
391,1.39E+17,the world is harsh,the world is harsh,dangerous,Bad
227,1.29E+17,THE WORLD IS HAPPENING OUT THERE! & I am free to comment on it all I want from the safety&comfort of my bed. Thank you America/the Internet,THE WORLD IS HAPPENING OUT THERE!,enticing,Good
348,1.38E+17,The world is governed by 2 things: development or deterioration. You doing one or the other.,The world is governed by 2 things: development or deterioration.,safe,Good
337,1.37E+17,The world is gonna end soon . I just pray that I'm right w.God when I leave .,The world is gonna end soon .,dangerous,Bad
